Artist	Signal	Category	Official Site	Bandcamp	Overview & Niche	USA Touring	Most Recent Release
Janiva Magness	Gnoosic ⭐ notable (ex.4)	Blues / Soul / Americana	https://www.janivamagness.com	https://janiva-magness.bandcamp.com	Los Angeles-based blues/soul/Americana vocalist. Grammy-nominated. BB King Entertainer of the Year 2009 (only second woman after Koko Taylor). Seven Blues Music Awards. 17 albums. Known for powerful interpretive style. Long partnership with producer Dave Darling. Alligator Records alumna. Latest album Back for Me (March 2025, Blue Élan Records) features Joe Bonamassa and Sue Foley. Actively touring USA.	Yes — actively touring USA	Back for Me (March 2025, Blue Élan Records)
Lance Lopez	Gnoosic ⭐ notable (ex.4)	Texas Blues-Rock	https://www.lancelopezguitarist.com	https://lancelopez.bandcamp.com	Shreveport-born Texas blues-rock guitarist. Professional since age 14. Toured with Johnnie Taylor (Chitlin Circuit), Lucky Peterson (worldwide), Buddy Miles (mentor/co-producer). Close friendship with Johnny Winter (taught slide guitar) and Billy Gibbons. Jeff Beck: "a very exciting and intense blues guitarist." Part of supergroup Supersonic Blues Machine. European Comeback Tour Fall 2024. New band Two Wolf (blues-rock/southern rock) debut album June 2025 via Cleopatra Records. Nashville-based. Active touring USA and Europe.	Yes — actively touring USA and Europe	Two Wolf debut (June 2025, Cleopatra Records); live album recorded Montreux 2025 pending release
Angelique Francis	Added by Dan	Multi-instrumentalist Blues-Soul-Roots	https://angeliquefrancis.net	—	Ottawa-born Canadian multi-instrumentalist (upright bass, harmonica, guitar, piano, cigar box guitar) and vocalist. Family band: father (drums) and sisters (sax, trombone, trumpet). 2023 JUNO Award winner Blues Album of the Year for Long River. 2025 album Not Defeated nominated for eight 2026 Canadian Blues Music Awards; features Kingfish and Eric Gales. Opened for Buddy Guy, Gary Clark Jr., Keb' Mo', Joe Bonamassa, Eric Gales. Folk Canada 2024 Performer of the Year. Philadelphia Folkfest, Montreal Jazz Festival, Ottawa BluesFest appearances. American TV debut on Oprah's OWN network as a child.	Yes — tours Canada and USA; 2026 dates in progress	Not Defeated (2025, independent)
Garret T. Willie	Added by Dan	Blues-Rock / Indigenous Blues	https://garretwillie.com	https://garrettwillie.bandcamp.com	25-year-old Indigenous Canadian guitarist and vocalist from Alert Bay, BC. Gravel-soaked baritone; AC/DC-meets-Texas-blues guitar style. Debut Same Pain (2023) — Top 20 UK Blues Albums chart, Top 20 US Roots Music Blues Rock chart, BBC Radio 2 airplay, two Western Canadian Music Award nominations. Second album Bill's Café (Feb 2026) produced by Grammy-winner Tom Hambridge (Buddy Guy, Kingfish, Susan Tedeschi); Gulf Coast Records/Mike Zito. Opened for Kenny Wayne Shepherd, John Fogerty, Kingfish, Joe Bonamassa. Joe Bonamassa Blues Cruise performer. Exclaim! 2026 Most Anticipated Albums. Kingfish connection via producer and touring is notable.	Yes — Canada and USA touring; 2026 tour underway	Bill's Café (Feb 2026, Gulf Coast Records)
The Teskey Brothers	Bender 2025 headliner	Blues-Soul / Blues-Rock	https://www.teskeybrothers.com	https://teskeybrothers.bandcamp.com	Australian four-piece blues-soul band from Melbourne. Powerhouse vocalist Josh Teskey fronts a full-band sound rooted in soul, gospel, and blues-rock. Critically acclaimed; multiple ARIA Award wins. Albums include Run Home Slow (2019) and The Winding Way (2023). Known for extraordinary live performances. Active international touring including USA.	Yes — actively touring USA; festival appearances	The Winding Way (2023)
Eddie 9V	Bender 2025 / BMA emerging radar	Blues / Soul / Rhythm & Blues	https://www.eddie9v.com	https://eddie9v.bandcamp.com	Atlanta-based blues, soul, and R&B vocalist and multi-instrumentalist. Retro-soul approach with deep blues roots; independently released and self-produced. Rising star on the blues circuit. Multiple festival bookings including Big Blues Bender. Actively touring USA.	Yes — actively touring USA	Fool's Paradise (2024)
GA-20	Bender 2025	Traditional Blues	https://www.ga20blues.com	https://ga20.bandcamp.com	Boston traditional blues trio: Matt Stubbs (guitar), Cody Nilsen (guitar/vocals), Josh Kiggans (drums). Mission-driven: bringing raw traditional electric blues forward into a modern context — Chicago, Delta, and early R&B. Recorded with special guests including Sugaray Rayford and Don Covay. On Karma Chief / Colemine Records. Active USA touring.	Yes — actively touring USA	Uncut (2023); Crackdown (2024)
The Record Company	KTBA Alaska 2025	Blues-Rock	https://www.therecordcompany.net	https://therecordcompany.bandcamp.com	Los Angeles blues-rock trio. Raw, stripped-down blues-rock — slide guitar, upright bass, drums. Self-released debut All Of This Life (2016) went Top 10 on Americana chart. Atlantic Records deal followed. Known for energetic live shows. Slower release cadence recently but actively touring.	Yes — USA touring	Play Loud (2022)
The Cold Stares	KTBA Alaska 2025	Blues-Rock	https://www.thecoldstares.com	https://thecoldstares.bandcamp.com	Tennessee two-piece blues-rock duo: Chris Tapp (vocals/guitar) and Brian Mullins (drums). Raw, loud, and minimal — a power-duo in the Jack White/Black Keys tradition. Relentlessly touring artists. Multiple albums on Mascot Records. Strong live reputation.	Yes — heavily touring USA	Heavy (2022); Sixes (2023)
Ariel Posen	KTBA Alaska 2025	Blues / Roots / Singer-Songwriter	https://www.arielposen.com	https://arielposen.bandcamp.com	Canadian guitarist, songwriter, and producer from Winnipeg. Slide guitar and lap steel specialist. Member of The Bros. Landreth. Solo career building momentum. Warm, melodic approach — blues, roots, and indie sensibilities. Active USA and Canadian touring. Produced by Aaron Comess (Spin Doctors).	Yes — tours USA and Canada	Headway (2021); How Long (2023)
Ronnie Baker Brooks	BMA 2025 winner — Contemporary Blues Male + Album	Electric Blues / Chicago Blues	https://www.ronniebakerbrownsmusic.com	—	Chicago blues guitarist and vocalist. Son of Lonnie Brooks. Grammy-nominated. Multiple BMA wins in 2025 including Contemporary Blues Album winner for Blues In My DNA. Deep Chicago blues tradition with contemporary energy. Active USA touring.	Yes — actively touring USA	Blues In My DNA (2024)
Piper & The Hard Times	BMA 2025 Best Emerging Artist winner	Contemporary Blues	—	—	BMA 2025 Best Emerging Artist winner. Contemporary blues band. Limited online presence identified — worth investigating further. Signal: BMA nomination process is highly curated; emerging artist winners represent strong practitioner consensus.	Unknown — limited info found	Revelation (2024, BMA winner)
Jovin Webb	BMA 2025 Best Emerging Artist nominee	Contemporary Blues / Soul	https://www.jovinwebb.com	—	Louisiana-born singer-songwriter and guitarist. Contemporary blues and soul with strong Southern roots. BMA Best Emerging Artist nominee 2025. Active USA touring.	Yes — tours USA	Go Be Free (2024)
Cedric Burnside	BMA 2025 Traditional Blues Male nominee + Album nominee	Hill Country Blues	https://www.cedricburnside.net	https://cedricburnside.bandcamp.com	Mississippi Hill Country blues guitarist and drummer. Grandson of R.L. Burnside. Grammy-nominated (2021). Preserves and evolves the hypnotic Hill Country blues tradition. Multiple BMA nominations. Active USA touring.	Yes — actively touring USA	Hill Country Love (2024, BMA nominated)
Jerron Paxton	BMA 2025 Acoustic Album nominee / KTBA Alaska 2025	Pre-War Blues / Ragtime / Old-Time	https://www.jerronpaxton.com	—	New York-based multi-instrumentalist — guitar, banjo, fiddle, piano, harmonica. Specializes in pre-war blues, ragtime, gospel, and jazz. Known as "Blind Boy Paxton." Extraordinary range and historical depth. BMA Acoustic Album nominee 2025 for Things Done Changed. Featured on KTBA Alaska 2025. Active USA touring.	Yes — actively touring USA	Things Done Changed (2024, BMA Acoustic Album nominee)
Beth Hart	BMA 2025 Contemporary Blues Female nominee / KTBA XI 2026 headliner	Blues-Rock / Soul	https://www.bethhart.com	—	Los Angeles blues-rock and soul vocalist. Powerhouse singer with multiple decades of recording and touring. Grammy-nominated. Collaborations with Joe Bonamassa (Don't Explain, 2011). Major international touring artist. Multiple BMA nominations over career. NOTE: High-profile artist with large following — may already be on your radar.	Yes — major international touring artist	A Tribute to Led Zeppelin (2022); You Still Got Me (2024)
Reverend Peyton's Big Damn Band	KTBA XI 2026 / Playing local — Rams Head On Stage Apr 29 2026 (passed; preferred seats gone, weeknight, pricier than usual — watch for return visit)	Country Blues / Roots / Blues-Rock	https://www.reverendpeytonsbigdamnband.com	https://reverendpeytonsbigdamnband.bandcamp.com	Indiana three-piece led by guitarist/vocalist Josh "Rev" Peyton. Raw, high-energy country blues — slide guitar, washboard, drums. Self-described "dirt blues." Active touring machine; over 200 shows per year historically. Fiercely independent. Multiple albums on Side One Dummy Records. Known for intense DIY live presence.	Yes — heavily touring USA	Dance Songs For Hard Times (2021); Father, Son & The Dirty Midnights (upcoming)
Jared James Nichols	KTBA XI 2026	Blues-Rock	https://www.jaredjaljayjay.com	—	Wisconsin-born blues-rock guitarist based in Nashville. Thumbpick player influenced by Rory Gallagher and Stevie Ray Vaughan. Multiple European festival appearances; strong UK blues-rock following. Active USA touring. Known for raw, live-feel recordings. Signed to Mascot/Provogue Records.	Yes — tours USA and Europe	Jared James Nichols (2022, Mascot/Provogue)
The Cinelli Brothers	KTBA XI 2026	Blues-Rock / Rhythm & Blues	https://www.thecinellibrothers.com	https://thecinellibrothers.bandcamp.com	Italian-British brothers (Marco and Max Cinelli) based in London. Blues-rock and vintage R&B. Extensive touring across Europe and USA including festival circuit appearances. Known for tight ensemble playing and old-school roots sound. Multiple albums.	Yes — tours USA; primarily European-based	One Way Ride (2023)
Nat Myers	KTBA XI 2026	Country Blues / Acoustic Roots	https://www.natmyersmusic.com	https://natmyers.bandcamp.com	Ohio-born acoustic country blues guitarist and singer. Deep pre-war blues and roots influences — Delta, Piedmont, country. Toured with Reverend Peyton's Big Damn Band. Rising artist in acoustic blues; praised by American Blues Scene and Living Blues. Young artist with strong traditional roots credentials.	Yes — tours USA	Yellow Peril (2022); Warrior (2024)
DeWolff	KTBA XII 2027 early announce	Blues-Rock / Psychedelic Rock / Roots	https://www.dewolffmusic.com	https://dewolff.bandcamp.com	Dutch blues-rock trio. Organ-driven vintage sound — draws from 1960s/70s blues-rock, gospel, and psychedelia. Major festival act in Europe; growing USA presence. Prolific: 10+ albums. Signed to Continental Records. Pablo van de Poel is a standout guitarist. NOTE: primarily European-based but KTBA booking signals USA push.	Growing — primarily European; KTBA 2027 signals expanding USA dates	Tascam Tapes (2022); Wolffpack (2024)
